threads,implementation,iteration,throughput
1,1,0,10599281.0
1,1,1,10982264.0
1,1,2,10867209.0
1,1,3,10881445.0
1,1,4,11039037.0
1,1,5,10790779.0
1,1,6,10733452.0
1,1,7,10888404.0
1,1,8,10910211.0
1,1,9,10929110.0
1,2,0,20516215.0
1,2,1,21207739.0
1,2,2,20892539.0
1,2,3,21503350.0
1,2,4,20909976.0
1,2,5,21560257.0
1,2,6,21402028.0
1,2,7,21507406.0
1,2,8,21836907.0
1,2,9,21774963.0
2,1,0,1080553.0
2,1,1,774755.0
2,1,2,801528.0
2,1,3,859166.0
2,1,4,775884.0
2,1,5,815839.0
2,1,6,921473.0
2,1,7,710516.0
2,1,8,698580.0
2,1,9,645864.0
2,2,0,4452178.0
2,2,1,3913136.0
2,2,2,7269615.0
2,2,3,5552296.0
2,2,4,5556496.0
2,2,5,5534588.0
2,2,6,6506937.0
2,2,7,7835208.0
2,2,8,6683838.0
2,2,9,6309292.0
4,1,0,310643.0
4,1,1,432664.0
4,1,2,263724.0
4,1,3,322404.0
4,1,4,427568.0
4,1,5,353812.0
4,1,6,345094.0
4,1,7,302026.0
4,1,8,344666.0
4,1,9,297868.0
4,2,0,12813360.0
4,2,1,12058547.0
4,2,2,12774607.0
4,2,3,10467961.0
4,2,4,9464789.0
4,2,5,9558533.0
4,2,6,8778967.0
4,2,7,8981545.0
4,2,8,8852968.0
4,2,9,10901387.0
8,1,0,328689.0
8,1,1,318148.0
8,1,2,282533.0
8,1,3,294538.0
8,1,4,301239.0
8,1,5,222766.0
8,1,6,267387.0
8,1,7,234182.0
8,1,8,249146.0
8,1,9,175358.0
8,2,0,7736316.0
8,2,1,6444680.0
8,2,2,8728622.0
8,2,3,6900687.0
8,2,4,8072019.0
8,2,5,7298027.0
8,2,6,9604241.0
8,2,7,9207136.0
8,2,8,7634878.0
8,2,9,7021274.0
16,1,0,210289.0
16,1,1,209273.0
16,1,2,205828.0
16,1,3,269908.0
16,1,4,136426.0
16,1,5,138682.0
16,1,6,147260.0
16,1,7,165724.0
16,1,8,151635.0
16,1,9,185187.0
16,2,0,8984187.0
16,2,1,9650167.0
16,2,2,9299814.0
16,2,3,9757871.0
16,2,4,9129325.0
16,2,5,10039606.0
16,2,6,9566470.0
16,2,7,9261556.0
16,2,8,9337717.0
16,2,9,8537505.0
32,1,0,102889.0
32,1,1,104752.0
32,1,2,106342.0
32,1,3,119647.0
32,1,4,73187.0
32,1,5,112430.0
32,1,6,108285.0
32,1,7,98694.0
32,1,8,88205.0
32,1,9,121624.0
32,2,0,9537268.0
32,2,1,9718381.0
32,2,2,8486066.0
32,2,3,9912301.0
32,2,4,10032584.0
32,2,5,9617827.0
32,2,6,10093683.0
32,2,7,9934368.0
32,2,8,9432053.0
32,2,9,10099910.0
