Picked up _JAVA_OPTIONS: -Xmx1g
Q6: Time: 7,	 Counter: 1000000

Q6: Time: 3,	 Counter: 4995317

Q6: Time: 3,	 Counter: 12539446

Q6: Time: 5,	 Counter: 26396330

Q6: Time: 6,	 Counter: 56147138

Q7: Time: 37,	 Counter: 1000000

Q7: Time: 261,	 Counter: 5000000

Q7: Time: 415,	 Counter: 13000000

Q7: Time: 539,	 Counter: 29000000

Q7: Time: 1271,	 Counter: 61000000

Q8: Time: 14,	 Counter: 1000000

Q8: Time: 64,	 Counter: 5000000

Q8: Time: 116,	 Counter: 13000000

Q8: Time: 229,	 Counter: 29000000

Q8: Time: 458,	 Counter: 61000000

Multicore execution finished
